"STATUS";"Order";"Art No";"Description";"Rcv";"Rcv Type";"RcvCty";"SL";"Act Order";"Plan Date";"TotOrd";"TotBal";"TotDsp";"TotBook";"Orig Date";"L";"T";"Rcvd Date";"Tot Csm Qty";"Order2";"Transit";"EndRcv";"EndRcvType";"EndRcvCty";"ITMOrdPlan";"LatestStockAvailDate";"StockAvailDate";"VmrOrdRefNo";"DelInd";"OrdSrc"
Conf;01591145440;60197230;SUCCULENT potted plant 4 " assorted/Succulent NA;414;STO;CA;3;N;24-Mar-2025;72;0;0;72;24-Mar-2025;6;E;;72;;N;414;STO;CA;N;;;;;
Conf;01591145441;00483324;SUCCULENT pttd plnt w pot 2 ½ " ass/Succulent CA;414;STO;CA;3;N;24-Mar-2025;32;0;0;32;24-Mar-2025;2;E;;32;;N;414;STO;CA;N;;;;;
Conf;01591145442;90493677;SUCCULENT pttd plnt w pot 5 " arrangement/ass NA;414;STO;CA;3;N;24-Mar-2025;12;0;0;12;24-Mar-2025;2;E;;12;;N;414;STO;CA;N;;;;;
Conf;01591145443;70219137;TROPISK potted plant 12" tropicalplant/assorted NA;414;STO;CA;3;N;24-Mar-2025;8;0;0;8;24-Mar-2025;2;E;;8;;N;414;STO;CA;N;;;;;
Conf;01591145444;10069107;ZAMIOCULCAS potted plant 6" Aroid palm NA;414;STO;CA;3;N;24-Mar-2025;18;0;0;18;24-Mar-2025;3;E;;18;;N;414;STO;CA;N;;;;;
Conf;01591145445;90120060;CACTACEAE potted plant 4 " assorted Cactus NA;659;STO;CA;5;N;24-Mar-2025;36;36;0;0;24-Mar-2025;3;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145447;80305361;EPIPREMNUM potted plant 6" Golden Pothos NA;659;STO;CA;3;N;24-Mar-2025;36;24;0;12;24-Mar-2025;6;E;;12;;N;659;STO;CA;N;;;;;
Conf;01591145448;60452659;FICUS pttd plnt w pot 14 bonsai/asst col CA;659;STO;CA;3;N;24-Mar-2025;12;12;0;0;24-Mar-2025;2;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145449;50452674;FICUS pttd plnt w pot 22 bonsai/asst col CA;659;STO;CA;3;N;24-Mar-2025;4;4;0;0;24-Mar-2025;2;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145450;20197227;HIMALAYAMIX pottd plnt 4 " assplantswithfoliage NA;659;STO;CA;3;N;24-Mar-2025;72;72;0;0;24-Mar-2025;6;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145451;80493673;PALMMIX potted plant 9 ½ " assorted NA;659;STO;CA;3;N;24-Mar-2025;12;12;0;0;24-Mar-2025;3;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145452;00493714;PHALAENOPSIS ptd plant 3 ½ " Orchid/2-stem ass NA;659;STO;CA;3;N;24-Mar-2025;18;18;0;0;24-Mar-2025;1;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145453;20593109;SAINTPAULIA N potted plant 4 " Afr violet 4-20 CA;659;STO;CA;5;N;24-Mar-2025;15;15;0;0;24-Mar-2025;1;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145454;60445796;SANSEVIERIA pttd plnt w pot 2 ¼ "Snakeplass col NA;659;STO;CA;5;N;24-Mar-2025;16;16;0;0;24-Mar-2025;1;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145455;60197230;SUCCULENT potted plant 4 " assorted/Succulent NA;659;STO;CA;3;N;24-Mar-2025;72;72;0;0;24-Mar-2025;6;E;;0;;N;659;STO;CA;N;;;;;
Conf;01591145483;00197902;SPATHIPHYLLUM potted plant 6" Peace lily NA;256;STO;CA;;N;19-Dec-2025;6;6;0;0;19-Dec-2025;1;E;19-Dec-2025;0;;N;256;STO;CA;N;;;;;
Conf;01591145484;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;;N;13-May-2026;23432;23432;0;0;13-May-2026;5858;E;13-May-2026;0;;N;004;STO;CA;N;;;;;
Conf;01591145485;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;;N;13-May-2026;23432;23432;0;0;13-May-2026;5858;E;13-May-2026;0;;N;004;STO;CA;N;;;;;
Conf;01591145486;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;004;STO;CA;;N;13-May-2026;48;48;0;0;13-May-2026;8;E;13-May-2026;0;;N;004;STO;CA;N;;;;;
Conf;2300000007;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;23-Jul-2025;24;0;0;24;23-Jul-2025;2;ZNB;23-Jul-2025;24;;N;004;STO;CA;N;;;;;DSP
Conf;2300000008;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;23-Jul-2025;24;0;0;24;23-Jul-2025;2;ZNB;23-Jul-2025;24;;N;004;STO;CA;N;;;;;DSP
Conf;2300000009;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;23-Jul-2025;24;0;12;12;23-Jul-2025;2;ZNB;23-Jul-2025;24;;N;004;STO;CA;N;;;;;DSP
Conf;2300000010;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;18-Mar-2026;24;0;0;24;23-Jul-2025;2;ZVMR;23-Jul-2025;24;;N;004;STO;CA;N;;;232310000203;;DSP
Conf;2300000015;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;27-Jul-2025;24;0;0;24;25-Jul-2025;2;ZVMR;25-Jul-2025;24;;N;004;STO;CA;N;;;232310000206;;DSP
